mach,AoA,CL,Clalpha,CD,iterations,cmd,task folder,read case filename,write case filename,cd report filename,cl report filename,tui commands filename,return code
0.74,0.5,0.55311637,0.17481470000000002,0.0096234908,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.500\start.jou,0
0.74,0.6,0.57059784,0.18141485000000035,0.010372526,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.600\start.jou,0
0.74,0.7,0.58939934,0.18898532777777768,0.010452568,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_0.700\start.jou,0
0.74,1.5,0.7467977,0.2085139677777778,0.011990009,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_1.500\start.jou,0
0.74,2.5,0.97001919,0.17362385000000025,0.022630521,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.500\start.jou,0
0.74,2.75,1.0103253,0.11022361333333208,0.027292182,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.750\start.jou,0
0.74,2.875,1.0209157,0.09276373333333332,0.029832993,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.875\start.jou,0
0.74,2.9375,1.0269647,0.08683279999999982,0.030979616,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_2.938\start.jou,0
0.74,3.0,1.0317698,0.0757399999999997,0.032120445,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.000\start.jou,0
0.74,3.0625,1.0364322,0.07275040000000033,0.033254138,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062,C://AoABuffet-FluentBackend//Mesh//001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.740\AoA_3.062\start.jou,0
